Estado;Observaciones;Equipo 1;Resultado;Equipo 2;Árbitros;Fecha;Hora;Lugar;Jornada;Grupo;Estado de la competición;Competición;Deporte
;;"Escola Pia Santa Anna Mataró Infantil ""A""";8 - 2;"F.S. Union Llagostense Mecman Infantil ""A""""";CRISTIANO RODI;21/04/2018;12:00;Escola Pia Santa Anna Mataró- Carrer de Sant Agustí- Mataró- Espanya;Jornada 18;"Infantil ""A""";;09. Infantil;Fútbol sala
;;Sagrerenc C.E. Pre-benjamí;6 - 1;Olimpic Argentona Pre-benjamí;PABLO GARCIA LLUBIA;21/04/2018;12:15;Poliesportiu Municipal La Sagrera - C/Honduras- 2 Barcelona;Jornada 7;Pre-benjami Copa;;12. Pre-benjami;Fútbol sala
;;Escola de Futsal Grèvol Juvenil;3 - 1;C.C.A. Plaza Macael Juvenil;JOAN GIBERT REY;21/04/2018;12:15;Pavelló Grèvol- Carrer Provençals- 9 Barcelona;Jornada 18;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;CFS Sagrada Familia;2 - 7;F.S Union La Salut Badalona A;LAUREANO PILAR VILLALBA- MARC GUINOVART PLANA;21/04/2018;12:30;Passeig Marítim de la Barceloneta- 33- 08003 Barcelona;Jornada 21;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;"Padre Damián Sagrados Corazones ""C""";3 - 2;"Olímpic Argentona ""B""";JOSE RIZO GOMEZ;21/04/2018;13:00;Poliesportiu Padre Damián Sagrados Corazones;Jornada 24;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Futbolmania F.S.;0 - 5;Atletic Arrahona B;MARCO ANTONIO GALLARDO BARÓ;21/04/2018;13:15;Poliesportiu MontigalÀ;Jornada 24;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;"F.S. Union Llagostense Mecman Infantil ""B""";4 - 0;A.E. Moià Infantil;ISMAEL BENKHAJOU BAKKALI;21/04/2018;13:30;Complex esportiu municipal El Turó- Carrer de Joaquim Blume- La Llagosta- Espanya;Jornada 18;"Infantil ""B""";;09. Infantil;Fútbol sala
;;Sagrerenc C.E. Aleví;5 - 4;"Olimpic Argentona Aleví ""A""";PABLO GARCIA LLUBIA;21/04/2018;13:30;Poliesportiu Municipal La Sagrera - C/Honduras- 2 Barcelona;Jornada 18;"Aleví ""A""";;10. Aleví;Fútbol sala
;;Neurofutbol F.S.;9 - 2;"Futbol Sala Corbera Cadet ""B""";ALBERT GONZALEZ GARCIA;21/04/2018;14:00;Ciudad Deportiva Fundación Marcet- Av. Can Marcet- 08035 Barcelona;Jornada 18;"Cadet ""B""";;08. Cadet;Fútbol sala
;;C.F.S. Alcalà Prat - Bar La Terraza Infantil;11 - 4;"F.S. Esclop Infantil ""A""";JOSE MANUEL GÜISADO PLIBERSCHNIG;21/04/2018;14:00;CEM SAGNIER- EL Prat de Llobregat- C/Federica Montseny s/n;Jornada 18;"Infantil ""B""";;09. Infantil;Fútbol sala
;;Can Palet FS;6 - 3;Teià Futbol Cinc B;JONATHAN GALVIS ARANGO- MARI CARMEN DELGADO MORALES;21/04/2018;14:30;Zona Esportiva Municipal Can Jofresa Carrer de Badalona- 4-6 08223 Terrassa;Jornada 21;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Jovents Balaguer;6 - 1;E.F.S. Alta Segarra Femení;HAFID AIKAR EL MIRI;21/04/2018;15:00;Pavelló Inpacsa Carrer d'Urgell- 106- 25600 Balaguer- Lleida;Jornada 18;Nacional Femenina B;;05. Nacional Femenina;Fútbol sala
;;Sagrerenc C.E. Cadet A;3 - 8;Grup de Joves Can Tusell Cadet;LAUREANO PILAR VILLALBA;21/04/2018;15:30;Poliesportiu Municipal La Sagrera - C/Honduras- 2 Barcelona;Jornada 18;"Cadet ""A""";;08. Cadet;Fútbol sala
;;Escola Pia Santa Anna Mataró B;3 - 6;C.F.S. La Garriga;DOMENEC FOLGUERA AMPURDANES- ELVIA ELOISA CARDENAS RAMOS;21/04/2018;15:30;Escola Pia Santa Anna Mataró- Carrer de Sant Agustí- Mataró- Espanya;Jornada 21;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;A.C.E. Sansur B;2 - 7;"Padre Damián Sagrados Corazones ""B""";JOEL JIMENEZ RODRIGUEZ- JOSE MANUEL GÜISADO PLIBERSCHNIG;21/04/2018;15:30;Poliesportiu Espanya Industrial;Jornada 21;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;F.s. Unión Llagostense MecMan Juvenil Nacional;11 - 1;Banús Futsal Juvenil Nacional;ISMAEL CHAMERO RIVERO- PABLO GARCIA LLUBIA;21/04/2018;16:00;Complex esportiu municipal El Turó- Carrer de Joaquim Blume- La Llagosta- Espanya;Jornada 15;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;Gela;0 - 5;"F.S. Borges ""B""";;21/04/2018;16:00;pavello poliesportiu de Gerb;Jornada 18;1a Territorial D;;03. 1a Territorial 2017-2018;Fútbol sala
;;Futbol Sala Femení Vila-Sana;1 - 2;Celler de l' Arnau;GERMAN MARTIN FERNANDEZ;21/04/2018;16:00;PavellÓ Municipal De Vila-sana;Jornada 18;Nacional Femenina B;;05. Nacional Femenina;Fútbol sala
;;C.e. Gadex Femení;0 - 5;Teià Futbol Cinc femení;BILAL ARROUCHDI- JOSE RIZO GOMEZ;21/04/2018;16:00;Poliesportiu Municipal Olimpia Carrer de Mauritània- 17- 08206 Sabadell- España;Jornada 18;Nacional Femenina A;;05. Nacional Femenina;Fútbol sala
;;C.F.S. La Garriga Juvenil A;0 - 2;"F.S. Esclop Juvenil ""B""";ISMAEL BENKHAJOU BAKKALI;21/04/2018;16:00;Poliesportiu Can Noguera;Jornada 18;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;"Futbol Sala Corbera Cadet ""A""";5 - 0;A.E. Moià Cadet;;21/04/2018;16:00;Pabellón Municipal de Deportes- C/Josep Tarradellas- 08757 Corbera de Llobregat;Jornada 18;"Cadet ""A""";;08. Cadet;Fútbol sala
;;C.E.F.S. Granollers Cadet;0 - 7;Futsal Dante Cadet;DAVID VALIENTE MARTIN;21/04/2018;16:00;PavellÓ Municipal De Can Bassa;Jornada 18;"Cadet ""B""";;08. Cadet;Fútbol sala
;;F.S. Esclop Aleví;2 - 4;F.S. Llinars Aleví;MARIANO BURGOS BONAVENTURA;21/04/2018;16:00;Col·legi Públic Gaudí- Carrer d'Ordesa- Sabadell- Espanya;Jornada 18;"Aleví ""A""";;10. Aleví;Fútbol sala
;;F.S. Racing Llavaneres;3 - 7;Betània Patmos Barcelona B;ANTONIO RUIZ MANCHON- SANDRA GARRIS CUBA;21/04/2018;16:00;Poliesportiu De Sant Andreu De Llavaneres;Jornada 21;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Penya Recreativa Sant Feliu de Llobregat;5 - 1;Athletic Torre Roja;MARCO ANTONIO GALLARDO BARÓ- NICOLAS ANDRES VALBUENA TORRES;21/04/2018;16:00;Pavelló Andrei Xepkin Carrer Mataró- 4- 08980 Sant Feliu de Llobregat- Barcelona;Jornada 21;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;"Gelida Industrial F.S.C. ""A""";3 - 5;A.E. Les Botigues De Sitges;CARLOS ARANDA PORTILLO- GABRIEL MORALES CAÑAS- PAOLO FORTUNATI RUBEIS;21/04/2018;16:15;Pavelló Municipal d'Esports de Gelida;Jornada 21;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;Sagrerenc C.E. Juvenil Nacional A;12 - 3;E.F.S. Alta Segarra Juvenil Nacional;JONATHAN GALVIS ARANGO- LAUREANO PILAR VILLALBA;21/04/2018;16:45;Poliesportiu Municipal La Sagrera - C/Honduras- 2 Barcelona;Jornada 15;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;F.S. Hostalriquenc;9 - 7;Palafrugell Futbol Sala;FRANCISCO JAVIER SANGUINO BLANQUIÑO- JOAQUIM BRUGUES TURRO;21/04/2018;17:00;Pavelló Municipal d' Hostalric;Jornada 18;1ª Territorial C;;03. 1a Territorial 2017-2018;Fútbol sala
;;F.s. Borges;8 - 1;E.F.S. Alta Segarra;DAVID MACARULLA CASTAÑEDA- ELI GASCÓN PEREIRO- OSCAR CRUZ OSUNA;21/04/2018;17:00;PAVELLO MUNICIPAL DE LES BORGES BLANQUES;Jornada 21;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;F.S. Esclop;0 - 2;C.e. Gadex B;MARIANO BURGOS BONAVENTURA;21/04/2018;17:00;Escola Torreguitart Carrer de Vallirana- 14- 08207 Sabadell- Barcelona;Jornada 24;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;C.E.F.S. Granollers Pre-benjamí;12 - 1;C.F.S. La Garriga Pre-benjamí;DAVID VALIENTE MARTIN;21/04/2018;17:30;PavellÓ Municipal De Can Bassa;Jornada 7;Pre-benjami Copa;;12. Pre-benjami;Fútbol sala
;;Betània Patmos Barcelona Juvenil Nacional;9 - 4;A.C. Coloso Juvenil Nacional;DAVID GALLARDO BARÓ- DAVID GUILLÉN CUELLAR;21/04/2018;18:00;Pavelló Universitat de Barcelona- Avinguda Diagonal 695-701 Barcelona;Jornada 15;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;F.S Fontcoberta;3 - 4;Futsal Cadaqués;FRANCESC ALBARRAN PIZARRO- SERGI ALBARRAN RINCON;21/04/2018;18:00;Pavelló Municipal de Fontcoberta Avinguda de la Pedrera- 17833 Fontcoberta- Girona;Jornada 18;1ª Territorial C;;03. 1a Territorial 2017-2018;Fútbol sala
;;C.E.F.S. Fonollosa;8 - 8;Restaurant 2007 La Fuliola;HAFID AIKAR EL MIRI;21/04/2018;18:00;Pista Poliesportiva de Fonollosa- C/ Mestre Angela Torres- 08259 Fonollosa;Jornada 18;2a Territorial D;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Peramola F.s.;3 - 1;F.S.R. Massoteres - Sant Guim de la Plana;FRANCISCO JUAN INGLES PAREJA;21/04/2018;18:00;Pista Poliesportiva Peramola;Jornada 18;2a Territorial D;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Alcarràs - Fraga Futsal;0 - 4;Oli Les Cabanes Juncosa F.S. Femení;GERMAN MARTIN FERNANDEZ;21/04/2018;18:00;Pabellón Polideportivo Cortes de Aragón Paseo de la Constitución- 22520 Fraga- Huesca;Jornada 18;Nacional Femenina B;;05. Nacional Femenina;Fútbol sala
;;Sagrerenc C.E. B;8 - 2;"Futsal Dante ""B""";JONATHAN GALVIS ARANGO- JOSE MANUEL GÜISADO PLIBERSCHNIG;21/04/2018;18:00;Poliesportiu Municipal La Sagrera - C/Honduras- 2 Barcelona;Jornada 21;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;F.S. Tèlic Group Bigues i Riells;6 - 5;Albelda Futsal;JORDI GAITX PLA- OSCAR KEVIN GUTIERREZ GUTIERREZ- RICARD MARQUEZ SIMONI;21/04/2018;18:00;Pavellon Can Badell- Avinguda Prat de la Riba- Bigues i Riells- Espanya;Jornada 21;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;A.E. Tiana;0 - 6;E.F.S. Ripoll;ALBERTO IGLESIAS PALOMARES- JOAN RAMON BERNARDO MAÑÉ- RAUL GONZALEZ MONJO;21/04/2018;18:30;Poliesportiu Municipal De Tiana;Jornada 21;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;"Club Futsal Alcarràs ""B""";3 - 6;Futbol Club Montmaneu;ELI GASCÓN PEREIRO- LLUIS GONZALEZ BEAS;21/04/2018;19:00;Pavelló Municipal Andreu Aixala;Jornada 18;1a Territorial D;;03. 1a Territorial 2017-2018;Fútbol sala
;;C.E.F.S. Granollers;3 - 3;C.F.S. Clot A;DAVID VALIENTE MARTIN- ISMAEL CHAMERO RIVERO- PABLO GARCIA LLUBIA;21/04/2018;19:00;PavellÓ Municipal De Can Bassa;Jornada 21;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;Vilobí F.S.;5 - 3;Futsal Cassà;FRANCISCO JAVIER SANGUINO BLANQUIÑO- JOAQUIM BRUGUES TURRO;21/04/2018;19:30;Pavelló Municipal de Vilobí d'Onyar- Vilobí d'Onyar- España;Jornada 18;2a. Territorial C;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Club futbol sala Santa Cristina;5 - 3;P.B. Montgrí;DANIEL MORENO LEON- FERRAN RUIZ MEDINA;21/04/2018;19:30;Pavello d'Esports de Santa Cristina d'Aro- Pont d ela Font del Rei s/n- 17246 Santa Cristina d'Aro;Jornada 18;2a. Territorial C;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Betània Patmos Barcelona;3 - 4;Sagrerenc C.E. A;DAVID GALLARDO BARÓ- DAVID GUILLÉN CUELLAR- MARCO ANTONIO GALLARDO BARÓ;21/04/2018;19:30;Pavelló Universitat de Barcelona- Avinguda Diagonal 695-701 Barcelona;Jornada 21;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;Atlètic Vidreres B;1 - 3;"F.s. Hostalriquenc ""B""";KEVIN ORTIZ MONGE- MIGUEL ANGEL MONGE PEREZ;21/04/2018;20:00;Pavelló Municipal Maçanet de la Selva;Jornada 18;2a. Territorial C;;04. 2ª Territorial 2017-2018;Fútbol sala
;;A.E. Tiana Juvenil;0 - 9;Betània Patmos Barcelona Juvenil B;JOAN RAMON BERNARDO MAÑÉ;21/04/2018;20:00;Poliesportiu Municipal De Tiana;Jornada 18;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;Olímpic Argentona;4 - 1;C.e. Gadex;MARIANO BURGOS BONAVENTURA- SANDRA GARRIS CUBA;21/04/2018;20:00;Pavelló Municipal d' Argentona;Jornada 21;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;C.f.s. Alcalà Prat - Bar La Terraza;5 - 0;Escola Pia Santa Anna Mataró;JOSE RIZO GOMEZ- MARI CARMEN DELGADO MORALES- NICOLAS ANDRES VALBUENA TORRES;21/04/2018;20:00;CEM SAGNIER- EL Prat de Llobregat- C/Federica Montseny s/n;Jornada 21;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;Sants Atletic F.S.;2 - 3;Betis Catalunya F.S.;CARLOS GÓMEZ GONZÁLEZ- JOEL JIMENEZ RODRIGUEZ;21/04/2018;20:30;Complex Esportiu La Báscula- Barcelona- Espanya;Jornada 21;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;Atlètic Vidreres;6 - 6;Joves de Vidreres C.F.S.;FRANCESC ALBARRAN PIZARRO- SERGI ALBARRAN RINCON;21/04/2018;20:59;Pavelló d'Esports Vidreres Carrer Lloret- 2- 17411 Vidreres- Girona;Jornada 18;1ª Territorial C;;03. 1a Territorial 2017-2018;Fútbol sala
;;"Olimpic Argentona Aleví ""B""";1 - 8;A.E. Sallent Aleví;HERMAN TORTA RECHE;22/04/2018;09:00;Pavelló Municipal d' Argentona;Jornada 18;"Aleví ""A""";;10. Aleví;Fútbol sala
;;C.E. Maristes De Rubí Aleví B;3 - 6;C.F.S. La Garriga Aleví;ANTONIO RUIZ MANCHON;22/04/2018;10:00;Pavello Maristes de Rubi- magallanes 65 Rubi;Jornada 18;"Aleví ""A""";;10. Aleví;Fútbol sala
;;"Orange Futsal Castellbisbal ""B""";7 - 2;A.E. Tiana B;LAUREANO PILAR VILLALBA;22/04/2018;10:00;PavellÓ Poliesportiu Municipal El Papiol;Jornada 24;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;F.S. Caldes De Malavella;1 - 2;Ca La Guidó Futsal;FERRAN RUIZ MEDINA- FRANCESC CARNICAS LOPEZ;22/04/2018;11:00;Polivalent Caldes de Malavella;Jornada 18;1ª Territorial C;;03. 1a Territorial 2017-2018;Fútbol sala
;;Oli Les Cabanes Juncosa F.S.;3 - 7;Athletic Aguilar A;DAVID MACARULLA CASTAÑEDA- FRANCISCO JUAN INGLES PAREJA;22/04/2018;11:00;Poliesportiu Municipal Juncosa;Jornada 18;1a Territorial D;;03. 1a Territorial 2017-2018;Fútbol sala
;;Bar Passadis Dynamo Cervera F.s.;2 - 9;F.C. Ivars De Noguera;ELI GASCÓN PEREIRO- GERMAN MARTIN FERNANDEZ;22/04/2018;11:00;PavellÓ Municipal De Cervera;Jornada 18;1a Territorial D;;03. 1a Territorial 2017-2018;Fútbol sala
;;Olímpic Argentona Infantil;6 - 2;"Escola Pia Santa Anna Mataró Infantil ""B""";LAURA PUCHE BARRANQUERO;22/04/2018;11:00;Pavelló Municipal d' Argentona;Jornada 18;"Infantil ""B""";;09. Infantil;Fútbol sala
;;Teià Futbol Cinc;12 - 3;C.F.S. Clot B;CARLOS GÓMEZ GONZÁLEZ- MARC GUINOVART PLANA- PAOLO FORTUNATI RUBEIS;22/04/2018;11:00;Poliesportiu Municipal El Cim- Carrer Josep Puigoriol s/n- Teià;Jornada 21;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;C.E. Maristes De Rubí Cadet;2 - 5;"Escola de Futsal Grèvol Cadet ""A""";ANTONIO RUIZ MANCHON;22/04/2018;11:15;Pavello Maristes de Rubi- magallanes 65 Rubi;Jornada 18;"Cadet ""B""";;08. Cadet;Fútbol sala
;;"Montsant Sala 5 ""A""";4 - 1;A.C.E. Sansur;JOAN GIBERT REY- JOSE RIZO GOMEZ- NICOLAS ANDRES VALBUENA TORRES;22/04/2018;11:45;Institut Barcelona Congrés- Carrer del Baró d'Esponellà- Barcelona- Espanya;Jornada 21;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;"Pony´s Futbol Sala ""A""";0 - 0;C.E. Orange Papiol Femení;ADRIA VENTEO GONZÁLEZ- MIQUEL VILASECA BARRUFET;22/04/2018;12:00;Poliesportiu Estacio Del Nord;Jornada 18;Nacional Femenina A;;05. Nacional Femenina;Fútbol sala
;;A.E. Moià Juvenil;2 - 2;C.E. Gadex Juvenil;JORDI GAITX PLA;22/04/2018;12:00;Pavelló Municipal d'Esports- Moià- Espanya;Jornada 18;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;Olimpic Argentona Juvenil;8 - 1;"F.S. Esclop Juvenil ""A""";LAURA PUCHE BARRANQUERO;22/04/2018;12:00;Pavelló Municipal d' Argentona;Jornada 18;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;A.E. Sallent Juvenil;3 - 8;F.S. Llinars Juvenil;JOAN RAMON BERNARDO MAÑÉ;22/04/2018;12:00;Pavelló D'esports Agustín Rueda de Sallent- C/verge del Pilar s/n;Jornada 18;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;F.S. Hostalriquenc Juvenil;2 - 3;"F.S. Telic Group Bigues i Riells Juvenil ""A""";JOAQUIM BRUGUES TURRO;22/04/2018;12:00;Pavelló Municipal d' Hostalric;Jornada 18;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;Futbol Sala Colomense;2 - 5;F.S Union La Salut Badalona B;MARIANO BURGOS BONAVENTURA;22/04/2018;12:00;Pavelló Esportiu de la Bastida Carrer de Prat de la Riba- s/n 08921 Santa Coloma de Gramenet Barcelona;Jornada 24;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Atlètic Sant Boi;4 - 2;C.E.S. Sabadell;MARCO ANTONIO GALLARDO BARÓ;22/04/2018;12:25;CEM Pau Gasol- Sant Boi de Llobregat- Espanya;Jornada 24;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Teià F5 Juvenil Nacional;6 - 7;Jesuïtes Clot Juvenil Nacional;CARLOS GÓMEZ GONZÁLEZ- MARC GUINOVART PLANA;22/04/2018;12:30;Poliesportiu Municipal El Cim- Carrer Josep Puigoriol s/n- Teià;Jornada 15;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;C.E. Maristes De Rubí Juvenil;3 - 3;"F.S. Tèlic Group Bigues i Riells Juvenil ""B""";ANTONIO RUIZ MANCHON;22/04/2018;12:30;Pavello Maristes de Rubi- magallanes 65 Rubi;Jornada 18;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;Futsal Dante;4 - 3;F.S. Unión Llagostense MecMan;HERMAN TORTA RECHE- ISMAEL CHAMERO RIVERO- RAUL GONZALEZ MONJO;22/04/2018;13:15;Parc Creueta del Coll- Passeig de la Mare de Déu del Coll- Barcelona- Espanya;Jornada 21;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;C.E. Maristes De Rubí Aleví A;13 - 1;A.E. Centelles Aleví;ANTONIO RUIZ MANCHON;22/04/2018;13:30;Pavello Maristes de Rubi- magallanes 65 Rubi;Jornada 18;"Aleví ""A""";;10. Aleví;Fútbol sala
;;A.E. Tiana Nacional Femenina;8 - 0;Futbol Sala Femeni Lloret de Mar;HERMAN TORTA RECHE- MANUEL MALDONADO LOPEZ;22/04/2018;16:00;Poliesportiu Municipal De Tiana;Jornada 18;Nacional Femenina A;;05. Nacional Femenina;Fútbol sala
;;Futbol Sala Corbera;2 - 2;Montsant Sala5 B;LAURA PUCHE BARRANQUERO;22/04/2018;16:00;Pabellón Municipal de Deportes- C/Josep Tarradellas- 08757 Corbera de Llobregat;Jornada 24;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;F.S. La Salut;3 - 3;C.C.A. Plaza Macael B;ADRIA VENTEO GONZÁLEZ- LAUREANO PILAR VILLALBA;22/04/2018;16:15;Parc Creueta del Coll- Passeig de la Mare de Déu del Coll- Barcelona- Espanya;Jornada 21;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;Athletic Torre Roja Cadet;2 - 4;Betània Patmos Barcelona Cadet;ISMAEL BENKHAJOU BAKKALI;22/04/2018;17:00;Avinguda dels Germans Gabrielistes- 16- Viladecans- Espanya;Jornada 18;"Cadet ""B""";;08. Cadet;Fútbol sala
;;Montsant Sala 5 Juvenil;1 - 5;Betània Patmos Barcelona Juvenil C;DOMENEC FOLGUERA AMPURDANES;22/04/2018;17:30;Institut Barcelona Congrés- Carrer del Baró d'Esponellà- Barcelona- Espanya;Jornada 18;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;E.F.S. Ripoll B Sant Pau de Segúries;7 - 6;Futsal Maçanet;JORDI GAITX PLA- OSCAR KEVIN GUTIERREZ GUTIERREZ;22/04/2018;18:00;Centre de Tecnificació Esportiva l'Avellaneda- Ripoll- Espanya;Jornada 18;2a. Territorial C;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Athletic Torre Roja Juvenil;9 - 1;Betania F.S.Juvenil;ISMAEL BENKHAJOU BAKKALI;22/04/2018;18:00;Avinguda dels Germans Gabrielistes- 16- Viladecans- Espanya;Jornada 18;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;CFS Ibers Santa Coloma;3 - 1;C.E.F.S. Granollers C;ADRIA VENTEO GONZÁLEZ- JOEL JIMENEZ RODRIGUEZ;22/04/2018;18:00;Pavelló Esportiu de la Bastida Carrer de Prat de la Riba- s/n 08921 Santa Coloma de Gramenet Barcelona;Jornada 21;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;FS Vinaixa Femeni;2 - 0;F.s. Borges Femení;DAVID MACARULLA CASTAÑEDA;22/04/2018;18:30;Ctra. de Lleida s/n 25440 Vinaixa;Jornada 18;Nacional Femenina B;;05. Nacional Femenina;Fútbol sala
;;F.S. Viladecavalls;3 - 3;Betis Catalunya F.S. B;MARIANO BURGOS BONAVENTURA;22/04/2018;19:30;poliesportiu municipal de viladecavalls;Jornada 24;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;C.E. Maristes De Rubí;3 - 2;C.E.F.S. Granollers B;DOMENEC FOLGUERA AMPURDANES- ELVIA ELOISA CARDENAS RAMOS;22/04/2018;20:15;Pavello Maristes de Rubi- magallanes 65 Rubi;Jornada 21;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;CEFS Begur;12 - 1;Mestre D Aixa U.a. Tossa;KEVIN ORTIZ MONGE- MIGUEL ANGEL MONGE PEREZ;24/04/2018;20:30;Pavelló de Begur- Carrer del Pavelló Begur;Jornada 18;2a. Territorial C;;04. 2ª Territorial 2017-2018;Fútbol sala
;;A.E. I.E.S. Manuel Blancafort;7 - 0;A.E. Tiana Nacional Femenina;DAVID VALIENTE MARTIN;24/04/2018;21:00;Can Violí- Avinguda 11 de Setembre- s/n- 08530 La Garriga- Barcelona;Jornada 12;Nacional Femenina A;;05. Nacional Femenina;Fútbol sala
;;"F.S. Esclop Juvenil ""A""";1 - 2;A.E. Tiana Juvenil;DAVID VALIENTE MARTIN;25/04/2018;21:00;Escola Torreguitart Carrer de Vallirana- 14- 08207 Sabadell- Barcelona;Jornada 17;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;Montsant Sala5 B;4 - 2;"Padre Damián Sagrados Corazones ""C""";MIQUEL VILASECA BARRUFET;27/04/2018;20:55;Institut Barcelona Congrés- Carrer del Baró d'Esponellà- Barcelona- Espanya;Jornada 25;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Futsal Bellmunt;4 - 5;Futbol Sala Altorricon;DAVID MACARULLA CASTAÑEDA;27/04/2018;21:30;Pavelló Poliesportiu Bellmunt;Jornada 18;2a Territorial D;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Olimpic Argentona Pre-benjamí;4 - 6;C.E.F.S. Granollers Pre-benjamí;DAVID VALIENTE MARTIN;28/04/2018;10:00;Pavelló Municipal d' Argentona;Jornada 8;Pre-benjami Copa;;12. Pre-benjami;Fútbol sala
;;Betània Patmos Barcelona Cadet;6 - 4;Montsant Sala 5 Cadet;JOSE MANUEL GÜISADO PLIBERSCHNIG;28/04/2018;10:00;Escola Betània Patmos- Carrer de Montevideo- Barcelona- Espanya;Jornada 19;"Cadet ""B""";;08. Cadet;Fútbol sala
;;A.E. Sallent Aleví;15 - 0;A.E. Moià Aleví;MARI CARMEN DELGADO MORALES;28/04/2018;10:00;Pavelló D'esports Agustín Rueda de Sallent- C/verge del Pilar s/n;Jornada 19;"Aleví ""A""";;10. Aleví;Fútbol sala
;;A.E. Moià Cadet;4 - 4;Sagrerenc C.E. Cadet A;JOSE RIZO GOMEZ;28/04/2018;10:30;Pavelló Municipal d'Esports- Moià- Espanya;Jornada 19;"Cadet ""A""";;08. Cadet;Fútbol sala
;;C.F.S. La Garriga Aleví;8 - 1;"Olimpic Argentona Aleví ""B""";ANTONIO RUIZ MANCHON;28/04/2018;10:45;Poliesportiu Can Noguera;Jornada 19;"Aleví ""A""";;10. Aleví;Fútbol sala
;;Betània Patmos Barcelona Juvenil C;14 - 0;C.F.S. La Garriga Juvenil A;JOSE MANUEL GÜISADO PLIBERSCHNIG;28/04/2018;11:00;Escola Betània Patmos- Carrer de Montevideo- Barcelona- Espanya;Jornada 19;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;"Olimpic Argentona Aleví ""A""";5 - 4;C.E. Maristes De Rubí Aleví B;DAVID VALIENTE MARTIN;28/04/2018;11:00;Pavelló Municipal d' Argentona;Jornada 19;"Aleví ""A""";;10. Aleví;Fútbol sala
